species,site,count,latin,纲,目,Order,科,Family,属
尖头唇鱼,永暑礁北沙洲,2,Cheilinus oxycephalus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,唇鱼属
尖吻棘鳞鱼,七连屿,2,Sargocentron spiniferum,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,棘鳞鱼属
尖吻棘鳞鱼,永暑礁北沙洲,1,Sargocentron spiniferum,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,棘鳞鱼属
尖吻鲀,美济礁,9,Oxymonacanthus longirostris,辐鳍鱼纲,鲀形目,Tetraodontiformes,鲀科,Tetraodontidae,尖吻鲀属
缰纹多棘鳞鲀,美济礁,4,Sufflamen fraenatus,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,多棘鳞鲀属
缰纹多棘鳞鲀,南扉暗沙,2,Sufflamen fraenatus,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,多棘鳞鲀属
焦黄笛鲷,永暑礁北沙洲,3,Lutjanus fulvus,辐鳍鱼纲,鲈形目,Perciformes,笛鲷科,Lutjanidae,笛鲷属
截尾鹦嘴鱼,七连屿,2,Scarus rivulatus,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
截尾鹦嘴鱼,永暑礁北沙洲,4,Scarus rivulatus,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
截尾栉齿刺尾鱼,美济礁,9,Ctenochaetus truncatus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,栉齿刺尾鱼属
金凹牙豆娘鱼,美济礁,15,Amblyglyphidodon aureus,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,凹牙豆娘鱼属
金凹牙豆娘鱼,永暑礁北沙洲,2,Amblyglyphidodon aureus,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,凹牙豆娘鱼属
金边黄鳞鲀,南扉暗沙,93,Xanthichthys auromarginatus,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,黄鳞鲀属
金边黄鳞鲀,永暑礁北沙洲,159,Xanthichthys auromarginatus,辐鳍鱼纲,鲀形目,Tetraodontiformes,鳞鲀科,Balistidae,黄鳞鲀属
金带齿颌鲷,美济礁,285,Gnathodentex aurolineatus,辐鳍鱼纲,鲈形目,Perciformes,裸颊鲷科,Lethrinidae,齿颌鲷属
金带齿颌鲷,南扉暗沙,2,Gnathodentex aurolineatus,辐鳍鱼纲,鲈形目,Perciformes,裸颊鲷科,Lethrinidae,齿颌鲷属
金带齿颌鲷,七连屿,15,Gnathodentex aurolineatus,辐鳍鱼纲,鲈形目,Perciformes,裸颊鲷科,Lethrinidae,齿颌鲷属
金带齿颌鲷,永乐环礁,7,Gnathodentex aurolineatus,辐鳍鱼纲,鲈形目,Perciformes,裸颊鲷科,Lethrinidae,齿颌鲷属
金带齿颌鲷,永暑礁北沙洲,738,Gnathodentex aurolineatus,辐鳍鱼纲,鲈形目,Perciformes,裸颊鲷科,Lethrinidae,齿颌鲷属
金口马夫鱼,美济礁,26,Heniochus chrysostomus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,马夫鱼属
金口马夫鱼,永暑礁北沙洲,1,Heniochus chrysostomus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,马夫鱼属
